Skill
Python
Java
C++
SQL
Machine Learning
Deep Learning
Data Analysis
Pandas
NumPy
Scikit-Learn
TensorFlow
PyTorch
Power BI
Tableau
Git
GitHub
HTML
CSS
JavaScript
React
Node.js
AWS
Azure
Docker
Kubernetes
